Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Salade niçoise,"Moutarde, Noix de cajou, Poivrons, Crevettes, Carottes, Arachides","Moutarde, Noix de cajou, Poivrons, Crevettes, Carottes, Arachides","Moutarde, Arachides, Fruits à coque, Crustacés"
Saucisses et purée,"Pommes de terre, Champignons, Poivrons, Oeufs, Noix de cajou","Pommes de terre, Champignons, Poivrons, Oeufs, Noix de cajou","Fruits à coque, Oeufs"
Tarte au sucre,"Noix de cajou, Beurre, Sauce brune","Noix de cajou, Beurre, Sauce brune","Fruits à coque, Gluten, Lait"
Moules-frites,"Crevettes, Oignons, Carottes","Crevettes, Oignons, Carottes",Crustacés
Chili con carne,"Poivrons, Pain, Sésame, Pommes de terre, Sauce brune","Poivrons, Pain, Sésame, Pommes de terre, Sauce brune","Gluten, Graines de sésame"
Boeuf stroganoff,"Noix de cajou, Poivrons, Carottes, Noisettes, Chocolat noir, Fromage en grains","Noix de cajou, Poivrons, Carottes, Noisettes, Chocolat noir, Fromage en grains","Fruits à coque, Lait"
Soupe à l'oignon,"Céleri, Noisettes, Noix de cajou, Beurre, Pain, Chocolat noir","Céleri, Noisettes, Noix de cajou, Beurre, Pain, Chocolat noir","Fruits à coque, Gluten, Lait, Céleri"
Poutine classique,"Chocolat noir, Poulet, Fromage en grains, Tomates","Chocolat noir, Poulet, Fromage en grains, Tomates",Lait
Quiche lorraine,"Moutarde, Céleri, Oeufs","Moutarde, Céleri, Oeufs","Moutarde, Oeufs, Céleri"
Chili con carne,"Farine de blé, Pommes de terre, Crème fraîche, Arachides","Farine de blé, Pommes de terre, Crème fraîche, Arachides","Gluten, Arachides, Lait"
Croque-monsieur,"Crevettes, Poivrons, Crème fraîche, Pain, Poulet","Crevettes, Poivrons, Crème fraîche, Pain, Poulet","Gluten, Lait, Crustacés"
Croque-monsieur,"Chocolat noir, Poisson, Crème fraîche, Carottes","Chocolat noir, Poisson, Crème fraîche, Carottes","Lait, Poisson"
Raclette,"Céleri, Sésame, Vanille, Tomates, Crème fraîche, Pâtes alimentaires","Céleri, Sésame, Vanille, Tomates, Crème fraîche, Pâtes alimentaires","Gluten, Graines de sésame, Lait, Céleri"
Poulet rôti,"Oeufs, Céleri, Sauce brune","Oeufs, Céleri, Sauce brune","Oeufs, Gluten, Céleri"
Rôti de porc,"Moutarde, Farine de blé, Pain, Fromage en grains, Céleri","Moutarde, Farine de blé, Pain, Fromage en grains, Céleri","Moutarde, Gluten, Lait, Céleri"
Fondue au fromage,"Oignons, Crème fraîche, Oeufs, Céleri, Sauce brune","Oignons, Crème fraîche, Oeufs, Céleri, Sauce brune","Oeufs, Gluten, Lait, Céleri"
Éclair au café,"Sésame, Oeufs, Noisettes, Tomates","Sésame, Oeufs, Noisettes, Tomates","Fruits à coque, Oeufs, Graines de sésame"
Cassoulet,"Noix de cajou, Poisson, Boeuf haché, Sauce soja, Poivrons","Noix de cajou, Poisson, Boeuf haché, Sauce soja, Poivrons","Fruits à coque, Soja, Poisson"
Ratatouille,"Crème fraîche, Pâtes alimentaires, Poisson, Vanille","Crème fraîche, Pâtes alimentaires, Poisson, Vanille","Gluten, Lait, Poisson"
Soupe à l'oignon,"Farine de blé, Poulet, Pain, Vanille","Farine de blé, Poulet, Pain, Vanille",Gluten
Poulet rôti,"Pommes de terre, Céleri, Arachides, Oeufs, Sésame, Beurre","Pommes de terre, Céleri, Arachides, Oeufs, Sésame, Beurre","Oeufs, Graines de sésame, Céleri, Arachides, Lait"
Crème brûlée,"Vanille, Sésame, Crème fraîche, Champignons","Vanille, Sésame, Crème fraîche, Champignons","Graines de sésame, Lait"
Saucisses et purée,"Beurre, Tomates, Céleri, Moutarde, Noix de cajou, Oignons","Beurre, Tomates, Céleri, Moutarde, Noix de cajou, Oignons","Moutarde, Lait, Céleri, Fruits à coque"
Coquilles Saint-Jacques,"Sauce brune, Noisettes, Crème fraîche","Sauce brune, Noisettes, Crème fraîche","Fruits à coque, Gluten, Lait"
Lasagne bolognaise,"Lait, Carottes, Chocolat noir, Pain, Beurre, Sauce soja","Lait, Carottes, Chocolat noir, Pain, Beurre, Sauce soja","Gluten, Lait, Soja"
Chili con carne,"Sauce brune, Farine de blé, Moutarde, Vanille","Sauce brune, Farine de blé, Moutarde, Vanille","Moutarde, Gluten"
Spaghetti carbonara,"Crème fraîche, Poisson, Crevettes, Champignons, Fromage en grains, Arachides","Crème fraîche, Poisson, Crevettes, Champignons, Fromage en grains, Arachides","Arachides, Lait, Crustacés, Poisson"
Macarons,"Tomates, Vanille, Oignons, Crevettes, Sauce soja, Oeufs","Tomates, Vanille, Oignons, Crevettes, Sauce soja, Oeufs","Oeufs, Soja, Crustacés"
Soupe à l'oignon,"Huile végétale, Céleri, Pain, Moutarde, Poulet, Boeuf haché","Huile végétale, Céleri, Pain, Moutarde, Poulet, Boeuf haché","Moutarde, Gluten, Céleri"
Boeuf stroganoff,"Sésame, Beurre, Champignons","Sésame, Beurre, Champignons","Graines de sésame, Lait"
Salade César,"Arachides, Pommes de terre, Oeufs, Noisettes, Pain, Lait","Arachides, Pommes de terre, Oeufs, Noisettes, Pain, Lait","Fruits à coque, Oeufs, Arachides, Lait, Gluten"
Boeuf bourguignon,"Sauce brune, Farine de blé, Arachides, Tomates","Sauce brune, Farine de blé, Arachides, Tomates","Gluten, Arachides"
Tourtière,"Huile végétale, Sauce brune, Farine de blé, Oignons, Boeuf haché, Poisson","Huile végétale, Sauce brune, Farine de blé, Oignons, Boeuf haché, Poisson","Gluten, Poisson"
Pot-au-feu,"Fromage en grains, Lait, Noix de cajou, Pommes de terre","Fromage en grains, Lait, Noix de cajou, Pommes de terre","Fruits à coque, Lait"
Poutine classique,"Fromage en grains, Chocolat noir, Carottes, Crème fraîche, Oeufs","Fromage en grains, Chocolat noir, Carottes, Crème fraîche, Oeufs","Oeufs, Lait"
Poulet à la crème,"Chocolat noir, Arachides, Carottes, Noix de cajou, Moutarde","Chocolat noir, Arachides, Carottes, Noix de cajou, Moutarde","Fruits à coque, Moutarde, Arachides"
Boeuf bourguignon,"Champignons, Noisettes, Farine de blé, Crème fraîche, Escargots","Champignons, Noisettes, Farine de blé, Crème fraîche, Escargots","Fruits à coque, Gluten, Lait, Mollusques"
Salade niçoise,"Farine de blé, Poisson, Poivrons, Pain","Farine de blé, Poisson, Poivrons, Pain","Gluten, Poisson"
Magret de canard,"Poulet, Lait, Tomates, Sauce soja, Poivrons","Poulet, Lait, Tomates, Sauce soja, Poivrons","Lait, Soja"
Raclette,"Chocolat noir, Oignons, Lait","Chocolat noir, Oignons, Lait",Lait
Soupe aux pois,"Oignons, Champignons, Noix de cajou, Poivrons, Huile végétale","Oignons, Champignons, Noix de cajou, Poivrons, Huile végétale",Fruits à coque
Crêpes sucrées,"Carottes, Crevettes, Oignons, Oeufs, Huile végétale","Carottes, Crevettes, Oignons, Oeufs, Huile végétale","Oeufs, Crustacés"
Saucisses et purée,"Crème fraîche, Chocolat noir, Escargots, Arachides, Beurre, Noix de cajou","Crème fraîche, Chocolat noir, Escargots, Arachides, Beurre, Noix de cajou","Fruits à coque, Arachides, Lait, Mollusques"
Cassoulet,"Chocolat noir, Céleri, Oeufs, Huile végétale, Farine de blé, Arachides","Chocolat noir, Céleri, Oeufs, Huile végétale, Farine de blé, Arachides","Oeufs, Gluten, Arachides, Céleri"
Crêpes sucrées,"Tomates, Noisettes, Crevettes, Champignons","Tomates, Noisettes, Crevettes, Champignons","Fruits à coque, Crustacés"
Raclette,"Poisson, Arachides, Vanille, Noix de cajou, Sauce brune","Poisson, Arachides, Vanille, Noix de cajou, Sauce brune","Fruits à coque, Gluten, Arachides, Poisson"
Boeuf stroganoff,"Beurre, Farine de blé, Noix de cajou","Beurre, Farine de blé, Noix de cajou","Fruits à coque, Gluten, Lait"
Rôti de porc,"Oignons, Carottes, Beurre","Oignons, Carottes, Beurre",Lait
Filet de saumon,"Oeufs, Fromage en grains, Sauce soja, Pain","Oeufs, Fromage en grains, Sauce soja, Pain","Oeufs, Gluten, Lait, Soja"
Filet de saumon,"Poisson, Sésame, Beurre, Sauce brune","Poisson, Sésame, Beurre, Sauce brune","Gluten, Graines de sésame, Lait, Poisson"
Moules-frites,"Chocolat noir, Poivrons, Arachides, Champignons, Carottes","Chocolat noir, Poivrons, Arachides, Champignons, Carottes",Arachides
Poulet à la crème,"Céleri, Champignons, Beurre, Crème fraîche, Oeufs","Céleri, Champignons, Beurre, Crème fraîche, Oeufs","Oeufs, Lait, Céleri"
Cassoulet,"Poisson, Oeufs, Pain, Champignons","Poisson, Oeufs, Pain, Champignons","Oeufs, Gluten, Poisson"
Spaghetti carbonara,"Oeufs, Fromage en grains, Sauce brune, Crème fraîche, Arachides, Pommes de terre","Oeufs, Fromage en grains, Sauce brune, Crème fraîche, Arachides, Pommes de terre","Oeufs, Gluten, Lait, Arachides"
Gâteau au chocolat,"Escargots, Poivrons, Pommes de terre, Champignons","Escargots, Poivrons, Pommes de terre, Champignons",Mollusques
Pain doré,"Noix de cajou, Poulet, Fromage en grains, Pommes de terre","Noix de cajou, Poulet, Fromage en grains, Pommes de terre","Fruits à coque, Lait"
Magret de canard,"Pain, Chocolat noir, Oignons, Sésame, Oeufs","Pain, Chocolat noir, Oignons, Sésame, Oeufs","Gluten, Graines de sésame, Oeufs"
Pain doré,"Huile végétale, Oignons, Arachides","Huile végétale, Oignons, Arachides",Arachides
Fondue au fromage,"Tomates, Pommes de terre, Pâtes alimentaires, Pain, Chocolat noir, Champignons","Tomates, Pommes de terre, Pâtes alimentaires, Pain, Chocolat noir, Champignons",Gluten
Poutine classique,"Pâtes alimentaires, Boeuf haché, Arachides, Escargots, Champignons, Lait","Pâtes alimentaires, Boeuf haché, Arachides, Escargots, Champignons, Lait","Gluten, Arachides, Lait, Mollusques"
Crêpes sucrées,"Huile végétale, Sésame, Moutarde, Poivrons","Huile végétale, Sésame, Moutarde, Poivrons","Moutarde, Graines de sésame"
Pot-au-feu,"Pâtes alimentaires, Sésame, Farine de blé, Beurre, Pain, Escargots","Pâtes alimentaires, Sésame, Farine de blé, Beurre, Pain, Escargots","Gluten, Graines de sésame, Lait, Mollusques"
Boeuf stroganoff,"Sauce brune, Poulet, Moutarde, Huile végétale, Sésame, Vanille","Sauce brune, Poulet, Moutarde, Huile végétale, Sésame, Vanille","Moutarde, Gluten, Graines de sésame"
Escargots à l'ail,"Escargots, Sésame, Farine de blé","Escargots, Sésame, Farine de blé","Gluten, Graines de sésame, Mollusques"
Cassoulet,"Noisettes, Pain, Sauce soja","Noisettes, Pain, Sauce soja","Fruits à coque, Gluten, Soja"
Poutine classique,"Poisson, Oeufs, Lait, Noix de cajou","Poisson, Oeufs, Lait, Noix de cajou","Fruits à coque, Oeufs, Lait, Poisson"
Boeuf stroganoff,"Chocolat noir, Noisettes, Fromage en grains, Tomates","Chocolat noir, Noisettes, Fromage en grains, Tomates","Fruits à coque, Lait"
Poulet rôti,"Lait, Moutarde, Pommes de terre, Crème fraîche","Lait, Moutarde, Pommes de terre, Crème fraîche","Moutarde, Lait"
Crème brûlée,"Boeuf haché, Fromage en grains, Poulet, Poisson, Pommes de terre","Boeuf haché, Fromage en grains, Poulet, Poisson, Pommes de terre","Lait, Poisson"
Cassoulet,"Lait, Huile végétale, Tomates, Vanille","Lait, Huile végétale, Tomates, Vanille",Lait
Crêpes sucrées,"Fromage en grains, Céleri, Chocolat noir, Tomates, Carottes","Fromage en grains, Céleri, Chocolat noir, Tomates, Carottes","Lait, Céleri"
Éclair au café,"Lait, Crème fraîche, Noix de cajou, Poivrons, Champignons","Lait, Crème fraîche, Noix de cajou, Poivrons, Champignons","Fruits à coque, Lait"
Rôti de porc,"Poivrons, Sésame, Farine de blé","Poivrons, Sésame, Farine de blé","Gluten, Graines de sésame"
Salade César,"Noix de cajou, Oeufs, Pâtes alimentaires, Céleri, Sauce soja","Noix de cajou, Oeufs, Pâtes alimentaires, Céleri, Sauce soja","Fruits à coque, Oeufs, Céleri, Soja, Gluten"
Chili con carne,"Poivrons, Oignons, Escargots, Pâtes alimentaires, Moutarde, Noix de cajou","Poivrons, Oignons, Escargots, Pâtes alimentaires, Moutarde, Noix de cajou","Moutarde, Gluten, Fruits à coque, Mollusques"
Fèves au lard,"Lait, Carottes, Farine de blé","Lait, Carottes, Farine de blé","Gluten, Lait"
Crêpes sucrées,"Céleri, Crème fraîche, Pommes de terre, Sésame, Escargots","Céleri, Crème fraîche, Pommes de terre, Sésame, Escargots","Graines de sésame, Lait, Mollusques, Céleri"
Poulet à la crème,"Céleri, Noisettes, Crevettes, Champignons","Céleri, Noisettes, Crevettes, Champignons","Fruits à coque, Céleri, Crustacés"
Quiche lorraine,"Carottes, Boeuf haché, Champignons, Poulet, Oignons","Carottes, Boeuf haché, Champignons, Poulet, Oignons",Aucun
Profiteroles,"Oignons, Poisson, Lait, Beurre","Oignons, Poisson, Lait, Beurre","Lait, Poisson"
Poutine classique,"Lait, Vanille, Chocolat noir","Lait, Vanille, Chocolat noir",Lait
Tourtière,"Tomates, Poisson, Poivrons, Chocolat noir","Tomates, Poisson, Poivrons, Chocolat noir",Poisson
Poutine classique,"Farine de blé, Pain, Arachides, Sauce brune","Farine de blé, Pain, Arachides, Sauce brune","Gluten, Arachides"
Salade niçoise,"Pommes de terre, Sésame, Arachides, Boeuf haché, Poivrons, Poulet","Pommes de terre, Sésame, Arachides, Boeuf haché, Poivrons, Poulet","Graines de sésame, Arachides"
Filet de saumon,"Crème fraîche, Fromage en grains, Céleri","Crème fraîche, Fromage en grains, Céleri","Lait, Céleri"
Lasagne bolognaise,"Noix de cajou, Fromage en grains, Crème fraîche, Arachides, Huile végétale","Noix de cajou, Fromage en grains, Crème fraîche, Arachides, Huile végétale","Fruits à coque, Arachides, Lait"
Omelette au fromage,"Huile végétale, Carottes, Boeuf haché","Huile végétale, Carottes, Boeuf haché",Aucun
Cassoulet,"Céleri, Fromage en grains, Oignons","Céleri, Fromage en grains, Oignons","Lait, Céleri"
Tourtière,"Arachides, Poulet, Sauce soja","Arachides, Poulet, Sauce soja","Arachides, Soja"
Soupe à l'oignon,"Moutarde, Chocolat noir, Escargots","Moutarde, Chocolat noir, Escargots","Moutarde, Mollusques"
Pâté chinois,"Moutarde, Vanille, Escargots, Pâtes alimentaires, Beurre, Lait","Moutarde, Vanille, Escargots, Pâtes alimentaires, Beurre, Lait","Moutarde, Gluten, Lait, Mollusques"
Escargots à l'ail,"Noix de cajou, Tomates, Céleri, Crevettes, Arachides, Pain","Noix de cajou, Tomates, Céleri, Crevettes, Arachides, Pain","Fruits à coque, Céleri, Arachides, Gluten, Crustacés"
Croque-monsieur,"Crème fraîche, Sauce soja, Beurre, Oeufs","Crème fraîche, Sauce soja, Beurre, Oeufs","Oeufs, Lait, Soja"
Escargots à l'ail,"Lait, Sésame, Champignons, Céleri, Carottes","Lait, Sésame, Champignons, Céleri, Carottes","Graines de sésame, Lait, Céleri"
Croque-monsieur,"Pâtes alimentaires, Sauce soja, Vanille","Pâtes alimentaires, Sauce soja, Vanille","Gluten, Soja"
Poutine classique,"Farine de blé, Huile végétale, Escargots","Farine de blé, Huile végétale, Escargots","Gluten, Mollusques"
Croque-monsieur,"Huile végétale, Poisson, Sauce brune, Noix de cajou, Boeuf haché","Huile végétale, Poisson, Sauce brune, Noix de cajou, Boeuf haché","Fruits à coque, Gluten, Poisson"
Ratatouille,"Chocolat noir, Crevettes, Noisettes, Champignons, Céleri","Chocolat noir, Crevettes, Noisettes, Champignons, Céleri","Fruits à coque, Céleri, Crustacés"
Tarte au sucre,"Pommes de terre, Noix de cajou, Beurre, Crème fraîche, Oignons","Pommes de terre, Noix de cajou, Beurre, Crème fraîche, Oignons","Fruits à coque, Lait"
Tourtière,"Moutarde, Vanille, Sauce soja, Tomates","Moutarde, Vanille, Sauce soja, Tomates","Moutarde, Soja"
Pain doré,"Sauce brune, Boeuf haché, Noisettes","Sauce brune, Boeuf haché, Noisettes","Fruits à coque, Gluten"
Tourtière,"Lait, Noisettes, Chocolat noir, Huile végétale","Lait, Noisettes, Chocolat noir, Huile végétale","Fruits à coque, Lait"
Spaghetti carbonara,"Vanille, Moutarde, Crème fraîche","Vanille, Moutarde, Crème fraîche","Moutarde, Lait"
Pizza au fromage,"Fromage en grains, Poulet, Céleri","Fromage en grains, Poulet, Céleri","Lait, Céleri"
Omelette au fromage,"Crème fraîche, Vanille, Sésame","Crème fraîche, Vanille, Sésame","Graines de sésame, Lait"
Tarte au sucre,"Oignons, Chocolat noir, Escargots, Oeufs, Farine de blé, Poisson","Oignons, Chocolat noir, Escargots, Oeufs, Farine de blé, Poisson","Oeufs, Gluten, Mollusques, Poisson"
Moules-frites,"Pâtes alimentaires, Sauce soja, Oignons, Crème fraîche, Noisettes","Pâtes alimentaires, Sauce soja, Oignons, Crème fraîche, Noisettes","Fruits à coque, Gluten, Lait, Soja"
Ratatouille,"Crevettes, Poivrons, Sésame, Champignons, Beurre","Crevettes, Poivrons, Sésame, Champignons, Beurre","Graines de sésame, Lait, Crustacés"
Pizza au fromage,"Vanille, Escargots, Noix de cajou","Vanille, Escargots, Noix de cajou","Fruits à coque, Mollusques"
Soupe à l'oignon,"Moutarde, Pommes de terre, Crevettes, Sésame, Chocolat noir, Poulet","Moutarde, Pommes de terre, Crevettes, Sésame, Chocolat noir, Poulet","Moutarde, Graines de sésame, Crustacés"
Ratatouille,"Fromage en grains, Poulet, Pâtes alimentaires, Champignons, Escargots, Poivrons","Fromage en grains, Poulet, Pâtes alimentaires, Champignons, Escargots, Poivrons","Gluten, Lait, Mollusques"
Cassoulet,"Fromage en grains, Escargots, Sauce soja","Fromage en grains, Escargots, Sauce soja","Lait, Mollusques, Soja"
Boeuf bourguignon,"Poivrons, Oignons, Carottes","Poivrons, Oignons, Carottes",Aucun
Cassoulet,"Boeuf haché, Huile végétale, Poulet, Beurre, Oignons, Pommes de terre","Boeuf haché, Huile végétale, Poulet, Beurre, Oignons, Pommes de terre",Lait
Pizza au fromage,"Crème fraîche, Pommes de terre, Boeuf haché, Sauce brune","Crème fraîche, Pommes de terre, Boeuf haché, Sauce brune","Gluten, Lait"
Gâteau au chocolat,"Pommes de terre, Tomates, Poisson, Céleri, Boeuf haché, Oignons","Pommes de terre, Tomates, Poisson, Céleri, Boeuf haché, Oignons","Céleri, Poisson"
Cassoulet,"Pain, Céleri, Farine de blé","Pain, Céleri, Farine de blé","Gluten, Céleri"
Pot-au-feu,"Boeuf haché, Pâtes alimentaires, Tomates","Boeuf haché, Pâtes alimentaires, Tomates",Gluten
Macarons,"Crevettes, Champignons, Chocolat noir, Huile végétale","Crevettes, Champignons, Chocolat noir, Huile végétale",Crustacés
Poutine classique,"Tomates, Sésame, Crevettes, Sauce soja, Carottes, Escargots","Tomates, Sésame, Crevettes, Sauce soja, Carottes, Escargots","Mollusques, Graines de sésame, Soja, Crustacés"
Tourtière,"Crème fraîche, Céleri, Pâtes alimentaires, Poisson","Crème fraîche, Céleri, Pâtes alimentaires, Poisson","Gluten, Lait, Céleri, Poisson"
Poutine classique,"Oignons, Farine de blé, Beurre, Noix de cajou, Pommes de terre, Sauce soja","Oignons, Farine de blé, Beurre, Noix de cajou, Pommes de terre, Sauce soja","Fruits à coque, Gluten, Lait, Soja"
Fondue au fromage,"Oignons, Sauce brune, Escargots, Noisettes","Oignons, Sauce brune, Escargots, Noisettes","Fruits à coque, Gluten, Mollusques"
Tarte au sucre,"Pâtes alimentaires, Sauce soja, Carottes, Farine de blé","Pâtes alimentaires, Sauce soja, Carottes, Farine de blé","Gluten, Soja"
Soupe à l'oignon,"Pain, Fromage en grains, Crevettes, Crème fraîche, Pâtes alimentaires","Pain, Fromage en grains, Crevettes, Crème fraîche, Pâtes alimentaires","Gluten, Lait, Crustacés"
Soupe à l'oignon,"Pommes de terre, Farine de blé, Beurre, Boeuf haché, Tomates, Noisettes","Pommes de terre, Farine de blé, Beurre, Boeuf haché, Tomates, Noisettes","Fruits à coque, Gluten, Lait"
